9.04058847,38.76226522,2471.0 
9.040133,38.76228226,2465.0 
9.03968431,38.76236632,2462.5 
9.03922929,38.76245761,2458.60009765625 
9.03878273,38.76254278,2458.0 
9.03833635,38.76263025,2461.5 
9.03789801,38.76278211,2456.89990234375 
9.03782935,38.76325138,2457.699951171875 
9.03760705,38.76283679,2462.5 
9.03712385,38.76289425,2457.89990234375 
9.03667334,38.76297686,2454.89990234375 
9.03621925,38.76303853,2454.800048828125 
9.03571206,38.76297951,2445.60009765625 
9.03520273,38.76305022,2441.89990234375 
9.03469198,38.76309698,2437.199951171875 
9.03421521,38.76316028,2434.89990234375 
9.0337415,38.76324788,2433.199951171875 
9.03327147,38.76329018,2430.199951171875 
9.0327722,38.76320423,2429.5 
9.03226542,38.76334901,2428.5 
9.03171932,38.76340944,2427.0 
9.03124798,38.76346385,2426.0 
9.03063815,38.7635382,2425.39990234375 
9.03015317,38.76357287,2424.60009765625 
9.02967022,38.76349833,2422.0 
9.029198,38.76340842,2420.300048828125 
9.02858579,38.76328705,2418.800048828125 
9.02789614,38.76314871,2416.60009765625 
9.02725887,38.76286332,2416.0 
9.02675325,38.76248643,2413.39990234375 
9.02619234,38.76204761,2410.699951171875 
9.02555011,38.76157394,2409.5 
9.02484292,38.76129545,2409.89990234375 
9.02413796,38.76129992,2409.300048828125 
9.02350648,38.76153005,2408.699951171875 
9.0229908,38.76193967,2407.199951171875 
9.02263977,38.76250067,2405.0 
9.02243408,38.76306049,2402.60009765625 
9.0221398,38.76341783,2401.0 
9.02152782,38.76359789,2400.300048828125 
9.02100308,38.7635455,2396.10009765625 
9.02037483,38.76347315,2392.5 
9.01967731,38.76339312,2390.10009765625 
9.01898473,38.76330833,2387.10009765625 
9.01829899,38.76322449,2384.10009765625 
9.01772144,38.76311075,2379.60009765625 
9.01726286,38.76296594,2378.60009765625 
9.01680098,38.76289397,2376.5 
9.0162694,38.76283512,2373.699951171875 
9.01565604,38.762761,2372.60009765625 
9.01495281,38.7626705,2371.10009765625 
9.01426993,38.76279911,2369.199951171875 
9.01368482,38.76297806,2368.800048828125 
9.01302216,38.76290096,2368.10009765625 
9.01241056,38.76281203,2370.10009765625 
9.01185958,38.76274564,2368.800048828125 
9.0113997,38.7626523,2365.5 
9.01086583,38.76282084,2354.89990234375 
9.01045315,38.76311657,2361.89990234375 
9.00999575,38.76353532,2359.699951171875 
9.00953023,38.76398977,2359.800048828125 
9.00916197,38.76434522,2360.39990234375 
9.00883433,38.76466867,2359.5 
9.00839009,38.76503193,2359.800048828125 
9.00792632,38.76545709,2359.89990234375 
9.00741115,38.76590005,2359.5 
9.00690159,38.76636073,2359.60009765625 
9.00638432,38.76679008,2362.199951171875 
9.00584738,38.76716588,2362.300048828125 
9.00528305,38.76748275,2361.89990234375 
9.00474049,38.76778452,2361.60009765625 
9.0042607,38.76794499,2357.699951171875 
9.00378648,38.76817597,2353.300048828125 
9.00334924,38.76849451,2348.39990234375 
9.00290325,38.76874688,2347.5 
9.0024623,38.76899557,2347.699951171875 
9.00196715,38.76925844,2344.5 
9.00146319,38.76954134,2338.300048828125 
9.00096924,38.76982291,2337.800048828125 
9.00040517,38.77011934,2338.0 
8.99980697,38.7704188,2335.699951171875 
8.9991762,38.77076463,2335.10009765625 
8.9986047,38.77111296,2339.199951171875 
8.99797963,38.77144466,2337.199951171875 
8.99748585,38.77170521,2337.10009765625 
8.99697609,38.77202301,2335.199951171875 
8.99652729,38.77223827,2334.10009765625 
8.99612013,38.77250762,2325.39990234375 
8.99577767,38.7728108,2328.89990234375 
8.99528493,38.77322554,2325.10009765625 
8.99474301,38.77376967,2325.5 
8.99411728,38.77441368,2317.89990234375 
8.99379993,38.77479556,2316.60009765625 
8.99350314,38.77520829,2317.300048828125 
8.99306315,38.77606191,2313.800048828125 
8.9927985,38.77693985,2310.800048828125 
8.99262457,38.77775474,2307.60009765625 
8.99245828,38.77827865,2307.60009765625 
8.99237747,38.77887008,2308.60009765625 
8.99225419,38.77949745,2310.89990234375 
8.99218377,38.78005984,2311.10009765625 
8.99204322,38.7807354,2311.300048828125 
8.99188351,38.78128485,2311.60009765625 
8.99170958,38.78181232,2316.800048828125 
8.9914762,38.78241119,2315.5 
8.99124001,38.78302317,2320.300048828125 
8.99101192,38.78356685,2321.10009765625 
8.99079966,38.78411326,2321.300048828125 
8.99059589,38.78466441,2321.5 
8.99031306,38.78519056,2323.0 
8.99017443,38.7857144,2323.199951171875 
8.98997699,38.7862073,2320.699951171875 
8.98967378,38.78684294,2319.39990234375 
8.98947372,38.78738768,2320.89990234375 
8.98927635,38.78795788,2322.5]]
